Team,No,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Eff,Deff
L.A.Lakers,7,99.5,42.2,20.8,7.6,4.2,13.5,23.1,30.4,11.8,110,3.7
New Jersey,8,93.8,40.7,22.9,6.8,3.3,12.9,23.6,30.7,10,105.2,3.6
Indiana,9,93.6,41.8,19.8,7.2,5,14.7,22.4,31.1,10.8,103.4,2.7
Minnesota,10,91.7,39.4,20.9,6.8,5.7,13.7,23,29.5,9.9,103.2,2.2
Cleveland,11,96.6,42.3,18.6,6.9,4.7,13.4,21.6,30.5,11.8,105.5,2
Denver,12,99.6,41.4,23.2,8.4,5.6,14.2,22.7,30.2,11.2,112.3,1.3
Memphis,13,91.8,38.9,19.1,7.2,5.3,13,21.7,28.9,10.1,101,1.2
Chicago,14,97.9,42.6,21.8,6.2,4.2,14.7,24.9,31.7,10.9,106.2,0.9
Utah,15,92.4,42.1,21.6,6.4,6,14.8,24.8,29,13.1,103,0.2
Sacramento,16,98.8,40.4,21.8,7.4,3.5,13.9,20.8,29.8,10.5,108.9,-0.9
Houston,17,90.1,41.6,19.3,7.2,3.9,13.7,22.7,31.3,10.4,99.3,-1.4
Washington,18,101.7,41.1,18.5,7.9,4.2,13.3,22.6,28.5,12.5,107.8,-1.6
Orlando,19,94.9,40.2,18.2,6.5,4.4,14.4,23.3,29.3,10.9,102.6,-1.6
Boston,20,98,39.6,20.9,7,5.2,15.9,24.8,29.7,9.9,107.1,-2.7
Philadelphia,21,99.4,40.2,20.2,7.9,4.9,13.6,20.9,29.6,10.6,109,-5.8
Milwaukee,22,97.8,40.9,21.5,7.2,3.2,13.9,23.4,29.7,11.3,106.5,-5.9
New Orleans,23,92.8,40.2,18.5,7.5,3.8,12.5,21.8,29,11.2,99.9,-6.2
Golden State,24,98.5,42.2,20.7,7.4,4.3,13.6,23.7,30.3,11.9,105.1,-7.6
Atlanta,25,97.2,40.3,19.8,7.2,4.8,15.1,25,27.2,13,104.2,-8.7
Seattle,26,102.6,39.6,20.7,7.6,3.7,14,23.6,27.2,12.4,110.3,-10.2
Charlotte,27,96.9,39.8,20.9,10,4.3,13.6,23.9,27.7,12.1,103.7,-11
